Abbrev,State,Year,Leg Majority
al,Alabama,2002,d
al,Alabama,2003,d
al,Alabama,2004,d
al,Alabama,2005,d
al,Alabama,2006,d
al,Alabama,2007,d
al,Alabama,2008,d
al,Alabama,2009,d
al,Alabama,2010,d
al,Alabama,2011,r
al,Alabama,2012,r
al,Alabama,2013,r
al,Alabama,2014,r
al,Alabama,2015,r
al,Alabama,2016,r
al,Alabama,2017,r
ak,Alaska,2002,r
ak,Alaska,2003,r
ak,Alaska,2004,r
ak,Alaska,2005,r
ak,Alaska,2006,r
ak,Alaska,2007,s
ak,Alaska,2008,s
ak,Alaska,2009,s
ak,Alaska,2010,s
ak,Alaska,2011,s
ak,Alaska,2012,s
ak,Alaska,2013,s
ak,Alaska,2014,r
ak,Alaska,2015,r
ak,Alaska,2016,r
ak,Alaska,2017,r
az,Arizona,2002,s
az,Arizona,2003,r
az,Arizona,2004,r
az,Arizona,2005,r
az,Arizona,2006,r
az,Arizona,2007,r
az,Arizona,2008,r
az,Arizona,2009,r
az,Arizona,2010,r
az,Arizona,2011,r
az,Arizona,2012,r
az,Arizona,2013,r
az,Arizona,2014,r
az,Arizona,2015,r
az,Arizona,2016,r
az,Arizona,2017,r
ar,Arkansas,2002,d
ar,Arkansas,2003,d
ar,Arkansas,2004,d
ar,Arkansas,2005,d
ar,Arkansas,2006,d
ar,Arkansas,2007,d
ar,Arkansas,2008,d
ar,Arkansas,2009,d
ar,Arkansas,2010,d
ar,Arkansas,2011,d
ar,Arkansas,2012,d
ar,Arkansas,2013,r
ar,Arkansas,2014,r
ar,Arkansas,2015,r
ar,Arkansas,2016,r
ar,Arkansas,2017,r
ca,California,2002,d
ca,California,2003,d
ca,California,2004,d
ca,California,2005,d
ca,California,2006,d
ca,California,2007,d
ca,California,2008,d
ca,California,2009,d
ca,California,2010,d
ca,California,2011,d
ca,California,2012,d
ca,California,2013,d
ca,California,2014,d
ca,California,2015,d
ca,California,2016,d
ca,California,2017,d
co,Colorado,2002,s
co,Colorado,2003,r
co,Colorado,2004,r
co,Colorado,2005,d
co,Colorado,2006,d
co,Colorado,2007,d
co,Colorado,2008,d
co,Colorado,2009,d
co,Colorado,2010,d
co,Colorado,2011,s
co,Colorado,2012,s
co,Colorado,2013,d
co,Colorado,2014,d
co,Colorado,2015,s
co,Colorado,2016,s
co,Colorado,2017,s
ct,Connecticut,2002,d
ct,Connecticut,2003,d
ct,Connecticut,2004,d
ct,Connecticut,2005,d
ct,Connecticut,2006,d
ct,Connecticut,2007,d
ct,Connecticut,2008,d
ct,Connecticut,2009,d
ct,Connecticut,2010,d
ct,Connecticut,2011,d
ct,Connecticut,2012,d
ct,Connecticut,2013,d
ct,Connecticut,2014,d
ct,Connecticut,2015,d
ct,Connecticut,2016,d
ct,Connecticut,2017,s
de,Delaware,2002,s
de,Delaware,2003,s
de,Delaware,2004,s
de,Delaware,2005,s
de,Delaware,2006,s
de,Delaware,2007,s
de,Delaware,2008,s
de,Delaware,2009,d
de,Delaware,2010,d
de,Delaware,2011,d
de,Delaware,2012,d
de,Delaware,2013,d
de,Delaware,2014,d
de,Delaware,2015,d
de,Delaware,2016,d
de,Delaware,2017,d
fl,Florida,2002,r
fl,Florida,2003,r
fl,Florida,2004,r
fl,Florida,2005,r
fl,Florida,2006,r
fl,Florida,2007,r
fl,Florida,2008,r
fl,Florida,2009,r
fl,Florida,2010,r
fl,Florida,2011,r
fl,Florida,2012,r
fl,Florida,2013,r
fl,Florida,2014,r
fl,Florida,2015,r
fl,Florida,2016,r
fl,Florida,2017,r
ga,Georgia,2002,d
ga,Georgia,2003,s
ga,Georgia,2004,s
ga,Georgia,2005,r
ga,Georgia,2006,r
ga,Georgia,2007,r
ga,Georgia,2008,r
ga,Georgia,2009,r
ga,Georgia,2010,r
ga,Georgia,2011,r
ga,Georgia,2012,r
ga,Georgia,2013,r
ga,Georgia,2014,r
ga,Georgia,2015,r
ga,Georgia,2016,r
ga,Georgia,2017,r
hi,Hawaii,2002,d
hi,Hawaii,2003,d
hi,Hawaii,2004,d
hi,Hawaii,2005,d
hi,Hawaii,2006,d
hi,Hawaii,2007,d
hi,Hawaii,2008,d
hi,Hawaii,2009,d
hi,Hawaii,2010,d
hi,Hawaii,2011,d
hi,Hawaii,2012,d
hi,Hawaii,2013,d
hi,Hawaii,2014,d
hi,Hawaii,2015,d
hi,Hawaii,2016,d
hi,Hawaii,2017,d
id,Idaho,2002,r
id,Idaho,2003,r
id,Idaho,2004,r
id,Idaho,2005,r
id,Idaho,2006,r
id,Idaho,2007,r
id,Idaho,2008,r
id,Idaho,2009,r
id,Idaho,2010,r
id,Idaho,2011,r
