name_full,locality,first_elected_year,reelection_year,ideology_score,party_code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
Willie R. Hardy,ar,2004,2010,,D,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Mark W. Lawrence,me,2016,2018,-0.509829146,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Richard Eric Stewart,tn,2008,2012,-0.45980958,D,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,
Wesley Alan Meredith,nc,2010,2018,0.325839481,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Colby Coash,ne,2008,2016,0.369401891,NP,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Michael Shelton,ok,2004,2016,-2.43236978,D,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Anthony Pollina,vt,2010,2018,0.123990911,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
William Goulette,nh,2014,2016,1.184264941,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,,,,
Mike Ball,al,2002,2018,0.473690768,R,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Katie Hobbs,az,2012,2018,-0.97021547,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
James Adelbert McDermott,us,1988,2016,-2.025234187,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Joseph Carnell Lindsey,va,2014,2017,-1.527520523,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
T. Scott Garrett,va,2009,2017,0.70372932,R,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Bill Stoltze,ak,2014,2018,0.961997083,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
John Gary Faulkner,ms,2013,2019,-1.158244289,D,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,,,,,
Angelo J. Morinello,ny,2016,2018,1.102409318,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
G. Thomas Cardon,nh,2014,2016,0.112756839,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,,,,
David Michael Gardner,nv,2014,2016,0.732819862,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,,,,
Mike Foley,ne,2000,2006,,NP,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
John C. McGuire,il,1990,2012,-1.142020632,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Harry Russell Potts Jr.,va,1991,2007,-0.277865586,R,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,,,,,
Ian Conyers,mi,2016,2018,-0.634355432,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Rob Eastlund,mn,2000,2010,,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Alan T. Powell,ga,1990,2018,-0.012722306,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Louis R. Tobacco,ny,2007,2012,1.136719776,R,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Karen D. Foster,me,2010,2012,1.090196448,R,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,,,,,
Ken Morgan,ms,2007,2019,0.64875742,R,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Robin P. Read,nh,2008,2012,-1.297756905,D,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,
Ruth C. Fahrbach,ct,1980,2008,,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Murray D. Levy,md,2004,2010,,D,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Travis K. Dunlap,ok,2014,2018,0.945192678,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Hakeem S. Jeffries,ny,2006,2012,-1.191036308,D,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Nicholas Patrick Collins Sr.,ma,2010,2018,-0.552191881,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Jim Karleskint,ks,2016,2018,,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Jay Bradford,ar,2000,2006,,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Lance T. Mason,oh,2002,2006,,D,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Betsy Markey,us,2008,2010,-0.481675933,D,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,,,,,
Warren Todd Daniel,nc,2010,2018,0.453609267,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Tony J. Payton Jr.,pa,2006,2012,-1.407038332,D,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Frederick C. Boucher,us,1982,2010,-0.600672774,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Sean R. Nienow,mn,2010,2016,,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,,
Michael G. Fitzpatrick,us,2010,2016,0.19260407,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,,
Mary Souza,id,2014,2018,-0.584070229,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Caryn Tyson,ks,2012,2020,0.960152851,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Evan Hollingsworth Jenkins,wv,2002,2014,-0.057913406,D,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
L. Harvey Smith,nj,2007,2009,-0.627962557,D,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,,,,,
Robert B. Thompson,nh,2008,2010,,D,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,,,,,
John J. Benoit,ca,2008,2010,1.044872354,R,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,,,,,
Donald R. Berthiaume Jr.,ma,2014,2018,1.727516552,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Joyce Errecart,vt,2002,2008,,R,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Douglas Miller,in,2014,2018,1.575274677,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Emile J. Goguen,ma,1991,2006,,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
James H. Merrill IV,sc,2000,2018,0.548131885,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Ronald E. Young,oh,2010,2018,0.860047494,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Philip C. Jimeno,md,1984,2006,,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
James R. Comer Jr.,us,2016,2018,0.960863275,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Tim Probst,wa,2008,2012,-0.226798213,D,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,
Mark Larson,vt,2000,2012,-1.452493323,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
LaWanna Shurtliff,ut,1998,2008,-1.271584619,D,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Thomas L. Mehaffie III,pa,2016,2018,0.83834065,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Mathew W. Erpelding,id,2012,2018,1.973759337,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Stefani Carter,tx,2010,2014,0.510057671,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,,,,,
Joshua A. Boschee,nd,2012,2020,-0.399103108,D-NPL,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Anne Copp,nh,2016,2018,1.242418605,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
William Francis Adolph Jr.,pa,1988,2016,0.562913376,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Brian E. Rumpf,nj,2003,2017,1.22793244,R,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Mark Gottlieb,wi,2002,2010,,R,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Robert A. Rucho,nc,2008,2016,0.466855303,R,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Steve Bergquist,wa,2012,2018,-0.863017981,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Frank Miller Ruff Jr.,va,2000,2019,0.452366004,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
David Yarde II,in,2008,2012,,R,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,
Craig Tieszen,sd,2016,2018,0.571195243,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Robert J. Vogel,mn,2014,2018,1.312252712,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Anne (Dubay) Dauphinais,ct,2016,2018,2.567833087,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Eric M. Bromwell,md,2002,2018,0.454678837,D,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
John Chadwick Barefoot,nc,2012,2018,0.42142795,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Forrest J. Mandeville,mt,2014,2018,0.817224399,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Charlie Janssen,ne,2008,2014,-1.202458426,NP,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Gary Siplin,fl,2002,2012,-0.388735453,D,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Vincent C. Gray,dc,2016,2020,-0.507289182,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Stephen P. Hanley,me,2004,2012,-0.018021584,D,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Diana S. Urban,ct,2000,2018,-1.428098086,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Susan Pulsipher,ut,2016,2018,0.577437893,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Steven D. McCleerey,sd,2014,2018,-0.118776145,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Julie Emerson,la,2015,2019,1.411448262,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,,,,,
Ben C. Ferry,ut,1998,2010,0.300996134,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Kathy Kreag Richardson,in,1992,2018,0.735535802,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
